4	3
19	19
41	40
69	67
79	77
103	102
113	112
115	114
123	122
146	148
151	156
178	182
201	203
243	240
244	241
250	246
286	283
287	284
306	304
307	305
341	333
354	346
362	354
396	381
411	395
415	398
423	406
434	417
436	419
447	429
449	431
464	444
490	473
503	484
509	489
511	491
524	505
526	507
541	521
547	526
567	1077
570	1064
571	1065
573	1080
577	551
578	552
579	553
581	1078
589	578
597	558
603	565
606	574
617	601
622	592
623	608
625	625
626	593
647	616
651	1086
654	611
663	634
664	635
673	657
674	690
676	645
678	685
680	655
692	672
694	629
697	673
712	700
718	1100
722	702
723	704
724	707
745	732
752	740
767	952
774	955
797	757
798	758
801	762
805	764
809	767
810	768
814	775
817	779
820	780
827	1003
833	736
842	789
848	784
849	803
850	802
864	821
865	817
869	822
871	823
875	814
879	839
883	843
884	844
892	858
893	859
896	868
905	850
911	877
921	897
932	907
940	872
945	893
958	924
969	940
970	937
971	941
972	939
974	938
975	945
979	930
984	976
986	978
987	979
994	972
997	973
999	984
1002	986
1004	993
1007	996
1015	1009
1017	1012
1019	1013
1023	1017
1035	1030
1036	1033
1039	1041
1044	991
1045	1031
1051	1045
1056	1040
1058	1028
1059	1029
1061	1054
1064	1056
1066	1059
1068	1062
1072	1050
1074	1052
1083	613
1084	623
1089	1093
1094	1104
1097	1106
1107	3940
1136	1404
1143	1140
1153	1157
1165	1159
1167	1148
1171	1186
1173	1195
1175	1171
1178	1173
1181	1174
1202	1192
1203	1216
1207	1207
1210	1204
1212	1212
1222	1218
1224	1220
1228	1225
1231	1228
1232	1352
1235	1354
1238	1356
1242	1360
1247	1229
1251	1234
1253	1236
1258	1241
1270	1252
1281	1281
1289	1277
1292	1286
1297	1290
1299	1291
1307	1299
1308	1300
1309	1301
1310	1302
1312	1311
1313	1297
1315	1317
1320	1329
1327	1308
1328	1310
1335	1430
1338	1340
1354	1363
1355	1364
1357	1367
1361	1375
1362	1378
1366	1383
1369	1385
1373	1387
1376	1384
1379	1395
1382	1397
1392	1389
1394	1391
1399	1163
1402	1180
1418	1765
1428	1442
1435	1450
1454	1461
1462	1787
1483	1489
1489	1483
1497	1496
1499	1795
1501	1500
1506	1476
